"Year","Source","Target","Type","export_val","import_val"
2017,"arg","abw","directed",4100662,0
2017,"atg","abw","directed",17292,2222
2017,"aut","abw","directed",601269,108407
2017,"aze","abw","directed",18434,0
2017,"bgr","abw","directed",930941,1862
2017,"blz","abw","directed",1759,0
2017,"bra","abw","directed",50478336.81,0
2017,"can","abw","directed",6153892,21266962.46
2017,"che","abw","directed",12181858,307513
2017,"chl","abw","directed",1970935,1737
2017,"chn","abw","directed",26179324.53,94017
2017,"cmr","abw","directed",0,8610.3
2017,"col","abw","directed",252784656.6,20311800.7
2017,"cuw","abw","directed",9578336.36,1458499
2017,"cyp","abw","directed",94185,62898317
2017,"cze","abw","directed",90155,3295
2017,"deu","abw","directed",10402291,23132
2017,"dnk","abw","directed",1263875,6094
2017,"dom","abw","directed",6930681,7737398.94
2017,"ecu","abw","directed",361206,0
2017,"esp","abw","directed",13501952,31958.89
2017,"est","abw","directed",14423,0
2017,"fin","abw","directed",243333,8319
2017,"fra","abw","directed",9394488,64914
2017,"gbr","abw","directed",40556180.74,54521.25
2017,"gha","abw","directed",0,13467
2017,"grc","abw","directed",88360,1816.77
2017,"guy","abw","directed",30714,199113.52
2017,"hkg","abw","directed",4645517.52,1467955
2017,"hnd","abw","directed",919656,118648.75
2017,"hun","abw","directed",509425,0
2017,"idn","abw","directed",494950,0
2017,"ind","abw","directed",6429397,372758.07
2017,"irl","abw","directed",363153,0
2017,"isr","abw","directed",3000,1236000
2017,"ita","abw","directed",6141247,7970
2017,"jam","abw","directed",1220226,85616.16
2017,"jor","abw","directed",0,6456306.97
2017,"jpn","abw","directed",8668797.07,0
2017,"kor","abw","directed",15813277.21,14018263.61
2017,"kwt","abw","directed",0,484656.86
2017,"lbn","abw","directed",0,23172.12
2017,"ltu","abw","directed",3132,0
2017,"lva","abw","directed",1238,0
2017,"mex","abw","directed",14394658.46,1158573.68
2017,"mmr","abw","directed",713370,0
2017,"moz","abw","directed",0,2207
2017,"mys","abw","directed",280051,17046.55
2017,"nic","abw","directed",19882,4482721.71
2017,"nld","abw","directed",147450460.4,10310011.84
2017,"nor","abw","directed",218412,0
2017,"nzl","abw","directed",809950,0
2017,"pan","abw","directed",27878234.33,1778833
2017,"per","abw","directed",3112186,0
2017,"phl","abw","directed",260900,946820.43
2017,"pol","abw","directed",1138193,0
2017,"prt","abw","directed",1202152,0
2017,"pry","abw","directed",8737234.2,0
2017,"rus","abw","directed",3535440,0
2017,"sdn","abw","directed",7650077,29643788.02
2017,"sgp","abw","directed",214434,40551239.46
2017,"slb","abw","directed",0,33134.6
2017,"slv","abw","directed",177336,11517421.1
2017,"sur","abw","directed",2097678,540786.6
2017,"svk","abw","directed",27645,6594
2017,"svn","abw","directed",14750,78388.03
2017,"swe","abw","directed",566962,344421.63
2017,"syc","abw","directed",0,2504
2017,"tur","abw","directed",1018624,0
2017,"ukr","abw","directed",153008,0
2017,"ury","abw","directed",2778340,0
2017,"usa","abw","directed",903767181.7,10483468.62
2017,"vct","abw","directed",40251,31714.01
2017,"ven","abw","directed",22388556.4,11200523
2017,"zaf","abw","directed",389442,17423
2017,"arg","afg","directed",1742478,41796
2017,"arm","afg","directed",60000,1408.46
2017,"aus","afg","directed",536500,286071.52
2017,"aut","afg","directed",9612875,243580.36
2017,"aze","afg","directed",52239557,0
2017,"bgr","afg","directed",1040910,85591.4
2017,"bih","afg","directed",890528,2001.24
2017,"blr","afg","directed",18769100,811382.74
2017,"bol","afg","directed",319105,128764.52
2017,"bra","afg","directed",9274055,215406.53
2017,"brn","afg","directed",0,2882
2017,"can","afg","directed",7133551,2471114.24
2017,"che","afg","directed",2960019,610446.84
2017,"chl","afg","directed",0,261157
2017,"chn","afg","directed",532601154,2856326.98
2017,"cmr","afg","directed",0,8618
2017,"col","afg","directed",0,996501.12
2017,"cyp","afg","directed",174747,0
2017,"cze","afg","directed",3460521,133763.61
2017,"deu","afg","directed",86877103,8880683.34
2017,"dnk","afg","directed",11803775,151548.1
2017,"dom","afg","directed",2070,81917
2017,"dza","afg","directed",0,11070
2017,"ecu","afg","directed",0,48205
2017,"egy","afg","directed",6943680,423478.56
2017,"esp","afg","directed",9194980,1900915.48
2017,"est","afg","directed",202575,1835
2017,"fin","afg","directed",601815,3682217
